Star,,Gas1,,Gas2,,Gas3,,2Halo,,Total,,r200,,DMO,,DMB1,,DMB2,,DMB3,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
,,1.5461995292935553,135604821782.0303,1.176580019321893,557226479550.7162,5.981858810578721,2154434690.031878,,,,,,,0.3121406155541271,12080894444044.424,0.8280929667211478,6472048716041.072,1.1315462674391816,5470975991722.696,1.393374302096852,4794306137298.21
,,1.628787421498548,106280851800.05225,1.2887524132383663,458538347354.3181,6.383880454607346,1260460094.014174,,,,,,,0.33748042516632615,11653628461048.441,0.9070414181116818,6168665417172.795,1.2075938815897977,5121477694389.304,1.5461995292935584,4624745519578.698
,,1.7382530270400873,91825428356.56264,1.3753653508422583,377328471834.2101,6.902128664695646,896150501.946605,,,,,,,0.36487733955498103,11377212941701.537,0.9554896535724046,5879503492411.95,1.4116190614769621,4910786388449.346,1.6717211683959052,4515049948030.795
,,1.9039740150507622,71968567300.11528,1.487018543028375,281666663751.6549,7.270795351850395,577969288.4153302,,,,,,,0.3793988806090033,10974834120016.93,1.03305702129534,5570366494245.124,1.5262153571217199,4708762664220.681,1.9039740150507682,4355365806822.828
,,2.0056718863390643,51167560176.36411,1.6501146661175108,231781818060.0885,7.861043979437919,391374560.1980376,,,,,,,0.4048970688068446,10714519104554.553,1.0741710569440948,5245906754825.479,1.6501146661175157,4542227469517.871,2.1128017944843904,4303402785302.636
,,2.112801794484384,38195357739.982376,1.7840722140754561,181659978837.53287,8.280929667211462,278255940.2207126,,,,,,,0.43210890887505715,10335577830070.232,1.1765800193218954,4999999999999.979,1.7382530270400909,4381582138682.1357,2.4063341373555116,4303402785302.636
,,2.314231388108563,27155789519.450005,1.928904536389008,142376775656.74088,8.837464527748505,170924466.41215461,,,,,,,0.45518934791987875,9851088013109.367,1.2720956689921752,4737106204149.874,1.95416149647552,4252059724475.822,2.7765329059430486,4434489165591.747
,,2.4063341373555067,21283464728.63058,2.0585400556229296,123011889642.19394,9.189181639339163,133962772.45180088,,,,,,,0.4921419610660858,9502683776734.63,1.3575891599628274,4569568581149.597,2.1968879644697235,4151203986628.7183,3.081062903038103,4624745519578.698
,,2.5348648092254686,17514036214.69841,2.2256538834596835,101225750482.89604,9.93516630660011,86398844.94839655,,,,,,,0.5184289741326664,9003044454968.834,1.4677992676220706,4329306335210.4365,2.635748419697034,4126366076968.5454,3.418993735733633,4910786388449.346
,,2.6357484196970287,14412195967.188519,2.469763495563975,91825428356.56264,10.602877133410932,61427068.2870516,,,,,,,0.5752902393633739,8581018378459.826,1.5869563145973267,4201329227712.031,3.041241075156219,4329306335210.4365,3.601614077252772,5060374341088.454
,,2.8128886609642603,10246652560.82553,2.5348648092254686,65285211411.278206,11.76580019321893,39617183.575959735,,,,,,,0.6060184910378745,8178775166530.031,1.7157866201421013,4028491700246.061,3.1622776601683826,4488035037879.064,3.843667067526161,5214518907231.949
,,3.0412410751562127,8030857221.3915205,2.705224984927532,46415888336.12772,,,,,,,,,0.6383880454607359,7795387479015.617,1.8793657133363944,3909406868760.287,3.4637618342529555,4823164590595.913,4.265240288719639,5637627935587.398
,,3.081062903038094,6294218265.67522,2.9248371810351514,36378648521.43095,,,,,,,,,0.6724865703177174,7610486605804.784,2.225653883459688,3793842262248.324,3.7449526215081033,5060374341088.454,4.493061600600463,5879503492411.95
,,3.418993735733626,4698483131.15483,3.1622776601683764,29935772947.20478,,,,,,,,,0.6992504722664039,7385515678119.457,2.7406470383160597,3909406868760.287,3.9966389379830884,5341208454071.986,4.857811715970678,6318536467640.283
,,3.6965502151266953,3682455998.1353445,3.288131309842424,21283464728.63058,,,,,,,,,0.7270795351850416,7167195037193.059,2.9248371810351603,4052740472907.285,4.3210890887505755,5705701549970.036,5.2521725196619276,6749724079664.514
,,3.7449526215080953,2262024760.615235,3.6016140772527607,15131924993.343424,,,,,,,,,0.7759442308140547,6790352815407.914,3.203684333821008,4303402785302.636,4.493061600600463,5879503492411.95,5.532709313056282,7210336663391.503
,,3.8939958131322276,1954363265.618295,3.793988806090025,11859710123.376657,,,,,,,,,0.8280929667211478,6511006035466.122,3.3748042516632584,4569568581149.597,4.795025934529733,6243151239164.234,6.060184910378745,7702382228642.411
,,4.048970688068434,1531740463.7020736,4.048970688068434,8431909292.866217,,,,,,,,,0.872324290929692,6243151239164.234,3.6487733955498145,4708762664220.681,5.184289741326664,6589625575309.02,6.21992733081934,8129839079705.261
,,4.321089088750563,1089022962.2637284,4.101987666944652,6294218265.67522,,,,,,,,,0.918918163933919,6022349198094.412,3.793988806090033,4940345973421.078,5.605154276326321,7081684628544.111,6.7248657031771675,8789498844085.406
,,4.551893479198774,853526346.1740916,4.434990106654205,4933120149.419785,,,,,,,,,0.968000777678383,5740045982093.247,4.048970688068446,5277483535855.454,5.828230551868868,7656296544927.702,7.0840641593045115,9617427431053.17
,,4.921419610660848,637136967.6461291,4.671878346444263,3507305085.706032,,,,,,,,,1.0197050644580972,5603896301629.461,4.493061600600463,5603896301629.461,5.981858810578734,8129839079705.261,7.462448653723039,10090425504921.178
,,5.320944151017437,410919370.14333725,4.921419610660848,2886140441.430078,,,,,,,,,1.0602877133410964,5277483535855.454,4.733051640767106,6058599633110.123,6.383880454607359,8632670256965.21,7.861043979437951,10843895510758.07
